Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
68954977627,69321653583,366675956,0,366675956,:cuFileHandleNVFS,1246522,1247444,0,0,3977,,:3977,:cuFileHandleNVFS
68970929512,69150978812,180049300,0,180049300,:cuFileHandleNVFS,1246522,1247447,0,0,3980,,:3980,:cuFileHandleNVFS
69151025212,69331796417,180771205,0,180771205,:cuFileHandleNVFS,1246522,1247447,0,0,3983,,:3983,:cuFileHandleNVFS
69262077496,69377726855,115649359,0,115649359,:cuFileHandleNVFS,1246522,1247445,0,0,3986,,:3986,:cuFileHandleNVFS
69381779726,69381870812,91086,0,91086,:weight_h2d L64 160MiB,1246522,1246522,2,0,3989,2254,:14:2254:3989,----:weight_h2d L64 160MiB
69381899607,69381941528,41921,0,41921,:weight_h2d L64 0MiB,1246522,1246522,2,0,3990,2254,:14:2254:3990,----:weight_h2d L64 0MiB
69381964560,69382001868,37308,0,37308,:weight_h2d L64 128MiB,1246522,1246522,2,0,3991,2254,:14:2254:3991,----:weight_h2d L64 128MiB
69382023442,69382057644,34202,0,34202,:weight_h2d L64 924MiB,1246522,1246522,2,0,3992,2254,:14:2254:3992,----:weight_h2d L64 924MiB
69382079581,69382113113,33532,0,33532,:weight_h2d L64 462MiB,1246522,1246522,2,0,3993,2254,:14:2254:3993,----:weight_h2d L64 462MiB
69382134770,69382168214,33444,0,33444,:weight_h2d L64 0MiB,1246522,1246522,2,0,3994,2254,:14:2254:3994,----:weight_h2d L64 0MiB
69382188479,69382266938,78459,0,78459,:weight_h2d L64 0MiB,1246522,1246522,2,0,3995,2254,:14:2254:3995,----:weight_h2d L64 0MiB
69385082282,69385154293,72011,0,72011,:weight_h2d L65 0MiB,1246522,1246522,2,0,3998,2254,:14:2254:3998,----:weight_h2d L65 0MiB
69385186389,69385226304,39915,0,39915,:weight_h2d L65 0MiB,1246522,1246522,2,0,3999,2254,:14:2254:3999,----:weight_h2d L65 0MiB
69385248173,69385284280,36107,0,36107,:weight_h2d L65 0MiB,1246522,1246522,2,0,4000,2254,:14:2254:4000,----:weight_h2d L65 0MiB
69388060702,69388128155,67453,0,67453,:weight_h2d L66 160MiB,1246522,1246522,2,0,4003,2254,:14:2254:4003,----:weight_h2d L66 160MiB
69388154629,69388194263,39634,0,39634,:weight_h2d L66 0MiB,1246522,1246522,2,0,4004,2254,:14:2254:4004,----:weight_h2d L66 0MiB
69388215429,69388250166,34737,0,34737,:weight_h2d L66 128MiB,1246522,1246522,2,0,4005,2254,:14:2254:4005,----:weight_h2d L66 128MiB
69388272657,69388306833,34176,0,34176,:weight_h2d L66 924MiB,1246522,1246522,2,0,4006,2254,:14:2254:4006,----:weight_h2d L66 924MiB
69388327395,69388360945,33550,0,33550,:weight_h2d L66 462MiB,1246522,1246522,2,0,4007,2254,:14:2254:4007,----:weight_h2d L66 462MiB
69388382227,69388415994,33767,0,33767,:weight_h2d L66 0MiB,1246522,1246522,2,0,4008,2254,:14:2254:4008,----:weight_h2d L66 0MiB
69388435635,69388469453,33818,0,33818,:weight_h2d L66 0MiB,1246522,1246522,2,0,4009,2254,:14:2254:4009,----:weight_h2d L66 0MiB
70539884642,70615139133,75254491,75183128,71363,:weight_ssd_read layer065/self_attn.qkv_proj.weight.bin 160MiB,1246522,1258195,0,1,4011,,:4011,:weight_ssd_read layer065/self_attn.qkv_proj.weight.bin 160MiB
70539928954,70615112082,75183128,69290825,5892303,:cuFileRead,1246522,1258195,1,1,4014,4011,:4011:4014,--:cuFileRead
70539996883,70609522572,69525689,0,69525689,:cuFileHandleNVFS,1246522,1247446,0,0,4017,,:4017,:cuFileHandleNVFS
70539997289,70679940170,139942881,139873017,69864,:weight_ssd_read layer065/self_attn.o_proj.weight.bin 128MiB,1246522,1258197,0,1,4018,,:4018,:weight_ssd_read layer065/self_attn.o_proj.weight.bin 128MiB
70540020044,70615078023,75057979,0,75057979,:cuFileHandleNVFS,1246522,1247444,0,0,4021,,:4021,:cuFileHandleNVFS
70540027222,70609318047,69290825,0,69290825,:cuFileHandleNVFS,1246522,1258195,2,0,4024,4014,:4011:4014:4024,----:cuFileHandleNVFS
70540038369,70679911386,139873017,129150410,10722607,:cuFileRead,1246522,1258197,1,1,4027,4018,:4018:4027,--:cuFileRead
70540058190,70612478980,72420790,0,72420790,:cuFileHandleNVFS,1246522,1247447,0,0,4030,,:4030,:cuFileHandleNVFS
70540090284,70669240694,129150410,0,129150410,:cuFileHandleNVFS,1246522,1258197,2,0,4033,4027,:4018:4027:4033,----:cuFileHandleNVFS
70540100129,71036629392,496529263,496435447,93816,:weight_ssd_read layer065/mlp.gate_up_proj.weight.bin 924MiB,1246522,1258194,0,1,4034,,:4034,:weight_ssd_read layer065/mlp.gate_up_proj.weight.bin 924MiB
70540137028,71036572475,496435447,442587521,53847926,:cuFileRead,1246522,1258194,1,1,4037,4034,:4034:4037,--:cuFileRead
70540176506,70982764027,442587521,0,442587521,:cuFileHandleNVFS,1246522,1258194,2,0,4040,4037,:4034:4037:4040,----:cuFileHandleNVFS
70540232305,70670004352,129772047,0,129772047,:cuFileHandleNVFS,1246522,1247445,0,0,4043,,:4043,:cuFileHandleNVFS
70540248242,71078924741,538676499,538611375,65124,:weight_ssd_read layer065/mlp.down_proj.weight.bin 462MiB,1246522,1258196,0,1,4044,,:4044,:weight_ssd_read layer065/mlp.down_proj.weight.bin 462MiB
70540285225,71078896600,538611375,275732842,262878533,:cuFileRead,1246522,1258196,1,1,4047,4044,:4044:4047,--:cuFileRead
70540323584,70816056426,275732842,0,275732842,:cuFileHandleNVFS,1246522,1258196,2,0,4050,4047,:4044:4047:4050,----:cuFileHandleNVFS
70609553664,70678391244,68837580,0,68837580,:cuFileHandleNVFS,1246522,1247446,0,0,4053,,:4053,:cuFileHandleNVFS
70612505404,70679860031,67354627,0,67354627,:cuFileHandleNVFS,1246522,1247447,0,0,4056,,:4056,:cuFileHandleNVFS
70615113857,70994868261,379754404,0,379754404,:cuFileHandleNVFS,1246522,1247444,0,0,4059,,:4059,:cuFileHandleNVFS
70670035315,71033869686,363834371,0,363834371,:cuFileHandleNVFS,1246522,1247445,0,0,4062,,:4062,:cuFileHandleNVFS
70678418039,71036449020,358030981,0,358030981,:cuFileHandleNVFS,1246522,1247446,0,0,4065,,:4065,:cuFileHandleNVFS
70679891896,70870262274,190370378,0,190370378,:cuFileHandleNVFS,1246522,1247447,0,0,4068,,:4068,:cuFileHandleNVFS
70870303660,71037040176,166736516,0,166736516,:cuFileHandleNVFS,1246522,1247447,0,0,4071,,:4071,:cuFileHandleNVFS
70994904301,71078792721,83888420,0,83888420,:cuFileHandleNVFS,1246522,1247444,0,0,4074,,:4074,:cuFileHandleNVFS
71082669556,71082760495,90939,0,90939,:weight_h2d L67 160MiB,1246522,1246522,2,0,4077,2254,:14:2254:4077,----:weight_h2d L67 160MiB
71082789041,71082829344,40303,0,40303,:weight_h2d L67 0MiB,1246522,1246522,2,0,4078,2254,:14:2254:4078,----:weight_h2d L67 0MiB
71082851721,71082886920,35199,0,35199,:weight_h2d L67 128MiB,1246522,1246522,2,0,4079,2254,:14:2254:4079,----:weight_h2d L67 128MiB
71082908367,71082941909,33542,0,33542,:weight_h2d L67 924MiB,1246522,1246522,2,0,4080,2254,:14:2254:4080,----:weight_h2d L67 924MiB
71082963194,71082996762,33568,0,33568,:weight_h2d L67 462MiB,1246522,1246522,2,0,4081,2254,:14:2254:4081,----:weight_h2d L67 462MiB
71083018742,71083052353,33611,0,33611,:weight_h2d L67 0MiB,1246522,1246522,2,0,4082,2254,:14:2254:4082,----:weight_h2d L67 0MiB
71083073493,71083107174,33681,0,33681,:weight_h2d L67 0MiB,1246522,1246522,2,0,4083,2254,:14:2254:4083,----:weight_h2d L67 0MiB
71085878531,71085963758,85227,0,85227,:weight_h2d L68 0MiB,1246522,1246522,2,0,4086,2254,:14:2254:4086,----:weight_h2d L68 0MiB
71085996246,71086035503,39257,0,39257,:weight_h2d L68 0MiB,1246522,1246522,2,0,4087,2254,:14:2254:4087,----:weight_h2d L68 0MiB
71086058507,71086093405,34898,0,34898,:weight_h2d L68 0MiB,1246522,1246522,2,0,4088,2254,:14:2254:4088,----:weight_h2d L68 0MiB
71088880500,71088951404,70904,0,70904,:weight_h2d L69 160MiB,1246522,1246522,2,0,4091,2254,:14:2254:4091,----:weight_h2d L69 160MiB
71088978602,71089018689,40087,0,40087,:weight_h2d L69 0MiB,1246522,1246522,2,0,4092,2254,:14:2254:4092,----:weight_h2d L69 0MiB
71089040663,71089075492,34829,0,34829,:weight_h2d L69 128MiB,1246522,1246522,2,0,4093,2254,:14:2254:4093,----:weight_h2d L69 128MiB
71089096916,71089131345,34429,0,34429,:weight_h2d L69 924MiB,1246522,1246522,2,0,4094,2254,:14:2254:4094,----:weight_h2d L69 924MiB
71089151755,71089185405,33650,0,33650,:weight_h2d L69 462MiB,1246522,1246522,2,0,4095,2254,:14:2254:4095,----:weight_h2d L69 462MiB
71089206402,71089239977,33575,0,33575,:weight_h2d L69 0MiB,1246522,1246522,2,0,4096,2254,:14:2254:4096,----:weight_h2d L69 0MiB
71089259835,71089292783,32948,0,32948,:weight_h2d L69 0MiB,1246522,1246522,2,0,4097,2254,:14:2254:4097,----:weight_h2d L69 0MiB
72262840097,72370655406,107815309,107736516,78793,:weight_ssd_read layer068/self_attn.qkv_proj.weight.bin 160MiB,1246522,1258195,0,1,4099,,:4099,:weight_ssd_read layer068/self_attn.qkv_proj.weight.bin 160MiB
72262888622,72370625138,107736516,106984088,752428,:cuFileRead,1246522,1258195,1,1,4102,4099,:4099:4102,--:cuFileRead
72262953164,72369937252,106984088,0,106984088,:cuFileHandleNVFS,1246522,1258195,2,0,4105,4102,:4099:4102:4105,----:cuFileHandleNVFS
72262961512,72367767323,104805811,0,104805811,:cuFileHandleNVFS,1246522,1247446,0,0,4108,,:4108,:cuFileHandleNVFS
72262961674,72424185972,161224298,161156603,67695,:weight_ssd_read layer068/self_attn.o_proj.weight.bin 128MiB,1246522,1258197,0,1,4109,,:4109,:weight_ssd_read layer068/self_attn.o_proj.weight.bin 128MiB
72262989621,72368153412,105163791,0,105163791,:cuFileHandleNVFS,1246522,1247447,0,0,4112,,:4112,:cuFileHandleNVFS
72263005064,72424161667,161156603,89549379,71607224,:cuFileRead,1246522,1258197,1,1,4115,4109,:4109:4115,--:cuFileRead
72263047823,72352597202,89549379,0,89549379,:cuFileHandleNVFS,1246522,1258197,2,0,4118,4115,:4109:4115:4118,----:cuFileHandleNVFS
72263071979,72770714548,507642569,507544271,98298,:weight_ssd_read layer068/mlp.gate_up_proj.weight.bin 924MiB,1246522,1258194,0,1,4119,,:4119,:weight_ssd_read layer068/mlp.gate_up_proj.weight.bin 924MiB
72263080871,72370496242,107415371,0,107415371,:cuFileHandleNVFS,1246522,1247445,0,0,4122,,:4122,:cuFileHandleNVFS
72263103901,72352941296,89837395,0,89837395,:cuFileHandleNVFS,1246522,1247444,0,0,4125,,:4125,:cuFileHandleNVFS
72263107286,72770651557,507544271,405714619,101829652,:cuFileRead,1246522,1258194,1,1,4128,4119,:4119:4128,--:cuFileRead
72263141346,72668855965,405714619,0,405714619,:cuFileHandleNVFS,1246522,1258194,2,0,4131,4128,:4119:4128:4131,----:cuFileHandleNVFS
72263276207,72827875294,564599087,564505179,93908,:weight_ssd_read layer068/mlp.down_proj.weight.bin 462MiB,1246522,1258196,0,1,4132,,:4132,:weight_ssd_read layer068/mlp.down_proj.weight.bin 462MiB
72263328232,72827833411,564505179,238172477,326332702,:cuFileRead,1246522,1258196,1,1,4135,4132,:4132:4135,--:cuFileRead
72263368997,72501541474,238172477,0,238172477,:cuFileHandleNVFS,1246522,1258196,2,0,4138,4135,:4132:4135:4138,----:cuFileHandleNVFS
72352972261,72411088065,58115804,0,58115804,:cuFileHandleNVFS,1246522,1247444,0,0,4141,,:4141,:cuFileHandleNVFS
72367790577,72424135626,56345049,0,56345049,:cuFileHandleNVFS,1246522,1247446,0,0,4144,,:4144,:cuFileHandleNVFS
72368176119,72713865754,345689635,0,345689635,:cuFileHandleNVFS,1246522,1247447,0,0,4147,,:4147,:cuFileHandleNVFS
72370523304,72716310222,345786918,0,345786918,:cuFileHandleNVFS,1246522,1247445,0,0,4150,,:4150,:cuFileHandleNVFS
72411113862,72770490874,359377012,0,359377012,:cuFileHandleNVFS,1246522,1247444,0,0,4153,,:4153,:cuFileHandleNVFS
72424166418,72604210536,180044118,0,180044118,:cuFileHandleNVFS,1246522,1247446,0,0,4156,,:4156,:cuFileHandleNVFS
72604252627,72781950001,177697374,0,177697374,:cuFileHandleNVFS,1246522,1247446,0,0,4159,,:4159,:cuFileHandleNVFS
72713909146,72827781976,113872830,0,113872830,:cuFileHandleNVFS,1246522,1247447,0,0,4162,,:4162,:cuFileHandleNVFS
72831816113,72831908866,92753,0,92753,:weight_h2d L70 160MiB,1246522,1246522,2,0,4165,2254,:14:2254:4165,----:weight_h2d L70 160MiB
72831937616,72831979843,42227,0,42227,:weight_h2d L70 0MiB,1246522,1246522,2,0,4166,2254,:14:2254:4166,----:weight_h2d L70 0MiB
72832002704,72832039207,36503,0,36503,:weight_h2d L70 128MiB,1246522,1246522,2,0,4167,2254,:14:2254:4167,----:weight_h2d L70 128MiB
72832060062,72832095974,35912,0,35912,:weight_h2d L70 924MiB,1246522,1246522,2,0,4168,2254,:14:2254:4168,----:weight_h2d L70 924MiB
