t_s,backlog,inflight,kvroot_b,disk_free_b
258.5,3,64,40454063973,277185998848
259.6,1,58,40489125733,277154357248
260.8,0,56,40516978533,277123055616
262.2,1,55,40516978533,277123055616
263.8,1,54,40537950053,277102075904
264.8,1,52,40537950053,277102075904
265.9,2,50,40558921573,277081092096
267.0,3,50,40558921573,277081092096
268.0,1,48,40594147173,277060108288
269.1,1,47,40621836133,277018152960
270.7,0,46,40642807653,276997169152
271.9,0,45,40642807653,276997169152
273.1,0,42,40642807653,276997169152
274.6,0,39,40642807653,276997169152
276.0,0,37,40642807653,276997169152
277.2,0,34,40642807653,276997169152
278.8,0,32,40642807653,276997169152
279.9,0,30,40642807653,276997169152
281.4,0,28,40642807653,276997169152
283.0,2,23,40642807653,276997169152
284.2,2,21,40642807654,276997169152
285.3,1,20,40663779173,276976193536
286.4,0,19,40703428453,276946690048
287.4,1,19,40705722213,276934238208
288.5,1,17,40705722213,276934238208
289.5,0,16,40726693733,276913258496
290.7,0,13,40726693733,276913258496
292.1,1,9,40726693733,276913258496
293.4,1,7,40726693733,276913258496
294.7,1,6,40747665253,276892282880
295.8,1,5,40747665253,276892282880
296.9,1,3,40747665253,276892282880
298.0,1,2,40747665253,276892282880
