08:26:55 b-kv5.5-cufile avail=12648M free=775M cached=12595M anon=110341M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:27:05 b-kv5.5-cufile avail=12646M free=772M cached=12595M anon=110342M mapped=734M shmem=271M unevict=0M slab=1750M psi_some=0.00 psi_full=0.00
08:27:16 b-kv5.5-cufile avail=12681M free=843M cached=12560M anon=110342M mapped=734M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:27:26 b-kv5.5-cufile avail=12678M free=840M cached=12560M anon=110343M mapped=734M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:27:36 b-kv5.5-cufile avail=12679M free=840M cached=12561M anon=110345M mapped=736M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:27:47 b-kv5.5-cufile avail=12667M free=828M cached=12561M anon=110346M mapped=738M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:27:57 b-kv5.5-cufile avail=12654M free=815M cached=12561M anon=110346M mapped=739M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:28:07 b-kv5.5-cufile avail=12647M free=805M cached=12562M anon=110346M mapped=739M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:28:17 b-kv5.5-cufile avail=12642M free=797M cached=12567M anon=110348M mapped=743M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:28:28 b-kv5.5-cufile avail=12642M free=796M cached=12567M anon=110348M mapped=744M shmem=271M unevict=0M slab=1747M psi_some=0.00 psi_full=0.00
08:28:38 b-kv5.5-cufile avail=12638M free=793M cached=12567M anon=110348M mapped=744M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:28:48 b-kv5.5-cufile avail=12637M free=791M cached=12568M anon=110348M mapped=744M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:28:58 b-kv5.5-cufile avail=12635M free=788M cached=12568M anon=110348M mapped=744M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:29:09 b-kv5.5-cufile avail=12638M free=792M cached=12568M anon=110347M mapped=742M shmem=271M unevict=0M slab=1747M psi_some=0.00 psi_full=0.00
08:29:19 b-kv5.5-cufile avail=12641M free=794M cached=12568M anon=110346M mapped=741M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:29:29 b-kv5.5-cufile avail=12639M free=791M cached=12569M anon=110348M mapped=743M shmem=271M unevict=0M slab=1747M psi_some=0.00 psi_full=0.00
