t_s,backlog,inflight,kvroot_b,disk_free_b
304.6,0,0,40642807653,271726886912
305.7,0,0,40642807653,271726886912
306.7,0,1,40642807653,271726886912
308.1,0,1,40642807653,271726886912
309.4,0,0,40642807653,271726886912
310.5,0,0,40642807653,271726886912
311.5,0,0,40642807653,271726886912
312.6,0,0,40642807653,271726886912
313.6,0,0,40642807653,271726886912
314.7,0,1,40642807653,271726886912
316.4,0,3,40642807653,271726886912
317.6,0,0,40642807653,271726886912
318.7,0,1,40642807653,271726882816
320.1,0,1,40642807653,271726882816
322.0,0,2,40642807653,271726882816
323.1,0,1,40642807653,271726882816
324.4,0,0,40642807653,271726882816
325.4,0,1,40642807653,271726882816
326.7,0,0,40642807653,271726882816
327.7,0,0,40642807653,271726882816
328.8,0,0,40642807653,271726882816
329.8,0,0,40642807653,271726882816
330.9,0,0,40642807653,271726882816
331.9,0,0,40642807653,271726882816
333.0,0,0,40642807653,271726882816
334.0,0,0,40642807653,271726882816
335.1,0,0,40642807653,271726882816
336.2,0,1,40642807653,271726882816
338.1,0,2,40642807653,271726882816
339.1,0,2,40663779173,271705907200
340.3,0,2,40663779173,271705907200
341.6,0,0,40663779173,271705907200
342.6,0,0,40663779173,271705907200
343.7,0,0,40663779173,271705907200
344.7,0,0,40663779173,271705907200
345.8,0,3,40663779173,271705907200
347.3,0,3,40705722213,271663943680
348.5,0,0,40705722213,271663943680
349.6,0,2,40705722213,271663943680
351.1,0,4,40726693733,271642959872
352.3,0,3,40726693733,271642959872
353.8,0,4,40726693733,271642955776
355.0,0,1,40726693733,271642951680
356.1,0,0,40726693733,271642951680
357.2,0,3,40726693733,271642951680
358.8,0,2,40747665253,271621976064
360.1,0,1,40747665253,271621976064
361.6,0,1,40747665253,271621976064
362.9,0,1,40747665253,271621976064
364.2,0,2,40747665253,271621976064
365.6,0,1,40747665253,271621976064
366.9,0,2,40747665253,271621976064
