geom,chunk,tok_mult,spans,span_name,transport,op,p50,p95,p99,gibps,cpu_util,reg_s,reg_fail,mmap_d,bar1_d,checksum
llama8b,2097152,1,32,L,gds_unreg,write,2.211,2.384,2.384,0.883,0.598,,,0,0,
llama8b,2097152,1,32,L,gds_unreg,read,1.855,2.105,2.105,1.053,0.565,,,0,0,True
llama8b,2097152,1,32,L,gds_staging,write,2.596,3.339,3.339,0.752,0.673,,,0,0,
llama8b,2097152,1,32,L,gds_staging,read,2.557,3.42,3.42,0.764,0.683,,,0,0,True
llama8b,2097152,1,32,L,posix,write,1.684,1.726,1.726,1.159,0.674,,,0,0,
llama8b,2097152,1,32,L,posix,read,1.698,1.741,1.741,1.15,0.703,,,0,0,True
llama8b,2097152,1,64,2L,gds_reg,write,1.626,1.718,1.718,1.202,0.345,0.0111,,64,64,
llama8b,2097152,1,64,2L,gds_reg,read,1.425,1.462,1.462,1.37,0.314,0.0056,,64,64,True
llama8b,2097152,1,64,2L,gds_unreg,write,2.121,2.151,2.151,0.921,0.495,,,0,0,
llama8b,2097152,1,64,2L,gds_unreg,read,2.05,2.097,2.097,0.953,0.509,,,0,0,True
llama8b,2097152,1,64,2L,gds_staging,write,3.807,4.803,4.803,0.513,0.729,,,0,0,
llama8b,2097152,1,64,2L,gds_staging,read,3.69,3.708,3.708,0.529,0.74,,,0,0,True
llama8b,2097152,1,64,2L,posix,write,1.743,2.588,2.588,1.12,0.665,,,0,0,
llama8b,2097152,1,64,2L,posix,read,2.392,2.645,2.645,0.817,0.788,,,0,0,True
llama8b,8388608,4,1,1,gds_reg,write,3.358,3.725,3.725,2.326,0.174,0.0016,,1,1,
llama8b,8388608,4,1,1,gds_reg,read,2.506,2.528,2.528,3.117,0.286,0.0021,,1,1,True
llama8b,8388608,4,1,1,gds_unreg,write,3.26,3.429,3.429,2.396,0.246,,,0,0,
llama8b,8388608,4,1,1,gds_unreg,read,3.384,3.626,3.626,2.308,0.283,,,0,0,True
llama8b,8388608,4,1,1,gds_staging,write,3.236,3.715,3.715,2.414,0.261,,,0,0,
llama8b,8388608,4,1,1,gds_staging,read,2.764,2.776,2.776,2.827,0.327,,,0,0,True
llama8b,8388608,4,1,1,posix,write,3.343,3.401,3.401,2.337,0.336,,,0,0,
llama8b,8388608,4,1,1,posix,read,3.222,3.246,3.246,2.425,0.413,,,0,0,True
llama8b,8388608,4,32,L,gds_reg,write,3.916,3.954,3.954,1.995,0.318,0.0088,,32,32,
llama8b,8388608,4,32,L,gds_reg,read,3.961,3.975,3.975,1.972,0.357,0.0094,,32,32,True
llama8b,8388608,4,32,L,gds_unreg,write,4.67,4.719,4.719,1.673,0.43,,,0,0,
llama8b,8388608,4,32,L,gds_unreg,read,4.641,4.652,4.652,1.683,0.453,,,0,0,True
llama8b,8388608,4,32,L,gds_staging,write,6.871,7.137,7.137,1.137,0.616,,,0,0,
llama8b,8388608,4,32,L,gds_staging,read,6.79,7.467,7.467,1.151,0.629,,,0,0,True
llama8b,8388608,4,32,L,posix,write,3.587,4.175,4.175,2.178,0.389,,,0,0,
llama8b,8388608,4,32,L,posix,read,3.465,3.484,3.484,2.254,0.448,,,0,0,True
llama8b,8388608,4,64,2L,gds_reg,write,5.045,5.099,5.099,1.548,0.401,0.0129,,64,64,
llama8b,8388608,4,64,2L,gds_reg,read,4.944,5.042,5.042,1.58,0.426,0.0115,,64,64,True
llama8b,8388608,4,64,2L,gds_unreg,write,6.43,6.456,6.456,1.215,0.537,,,0,0,
llama8b,8388608,4,64,2L,gds_unreg,read,6.348,7.122,7.122,1.231,0.556,,,0,0,True
llama8b,8388608,4,64,2L,gds_staging,write,7.909,9.874,9.874,0.988,0.635,,,0,0,
llama8b,8388608,4,64,2L,gds_staging,read,7.172,7.595,7.595,1.089,0.62,,,0,0,True
llama8b,8388608,4,64,2L,posix,write,4.467,4.507,4.507,1.749,0.515,,,0,0,
llama8b,8388608,4,64,2L,posix,read,4.428,4.465,4.465,1.764,0.571,,,0,0,True
llama8b,33554432,16,1,1,gds_reg,write,13.661,14.025,14.025,2.288,0.193,0.0095,,4,4,
llama8b,33554432,16,1,1,gds_reg,read,11.775,12.801,12.801,2.654,0.274,0.019,,4,4,True
llama8b,33554432,16,1,1,gds_unreg,write,13.617,14.342,14.342,2.295,0.444,,,0,0,
llama8b,33554432,16,1,1,gds_unreg,read,9.785,9.839,9.839,3.194,0.62,,,0,0,True
llama8b,33554432,16,1,1,gds_staging,write,13.326,14.006,14.006,2.345,0.244,,,0,0,
llama8b,33554432,16,1,1,gds_staging,read,10.985,11.029,11.029,2.845,0.343,,,0,0,True
llama8b,33554432,16,1,1,posix,write,14.374,14.931,14.931,2.174,0.293,,,0,0,
llama8b,33554432,16,1,1,posix,read,12.513,12.605,12.605,2.497,0.389,,,0,0,True
llama8b,33554432,16,32,L,gds_reg,write,13.384,13.898,13.898,2.335,0.215,0.0106,,32,32,
llama8b,33554432,16,32,L,gds_reg,read,13.272,16.317,16.317,2.355,0.254,0.0155,,32,32,True
llama8b,33554432,16,32,L,gds_unreg,write,13.671,14.786,14.786,2.286,0.293,,,0,0,
llama8b,33554432,16,32,L,gds_unreg,read,13.917,14.973,14.973,2.245,0.326,,,0,0,True
llama8b,33554432,16,32,L,gds_staging,write,16.808,17.233,17.233,1.859,0.416,,,0,0,
llama8b,33554432,16,32,L,gds_staging,read,17.709,19.22,19.22,1.765,0.443,,,0,0,True
llama8b,33554432,16,32,L,posix,write,14.6,15.024,15.024,2.14,0.302,,,0,0,
llama8b,33554432,16,32,L,posix,read,12.784,12.829,12.829,2.445,0.401,,,0,0,True
llama8b,33554432,16,64,2L,gds_reg,write,13.941,14.075,14.075,2.242,0.263,0.0137,,64,64,
llama8b,33554432,16,64,2L,gds_reg,read,13.881,16.635,16.635,2.251,0.297,0.0166,,64,64,True
llama8b,33554432,16,64,2L,gds_unreg,write,15.402,15.507,15.507,2.029,0.345,,,0,0,
llama8b,33554432,16,64,2L,gds_unreg,read,15.492,18.261,18.261,2.017,0.374,,,0,0,True
llama8b,33554432,16,64,2L,gds_staging,write,22.113,22.231,22.231,1.413,0.547,,,0,0,
llama8b,33554432,16,64,2L,gds_staging,read,21.972,23.769,23.769,1.422,0.557,,,0,0,True
llama8b,33554432,16,64,2L,posix,write,14.78,15.101,15.101,2.114,0.314,,,0,0,
llama8b,33554432,16,64,2L,posix,read,13.019,13.078,13.078,2.4,0.412,,,0,0,True
opt67b,8388608,1,1,1,gds_reg,write,3.105,4.069,4.069,2.516,0.186,0.002,,1,1,
opt67b,8388608,1,1,1,gds_reg,read,2.479,2.501,2.501,3.151,0.286,0.0022,,1,1,True
opt67b,8388608,1,1,1,gds_unreg,write,3.195,3.23,3.23,2.445,0.27,,,0,0,
opt67b,8388608,1,1,1,gds_unreg,read,3.352,3.375,3.375,2.331,0.302,,,0,0,True
opt67b,8388608,1,1,1,gds_staging,write,3.226,3.38,3.38,2.422,0.244,,,0,0,
opt67b,8388608,1,1,1,gds_staging,read,2.762,2.786,2.786,2.828,0.324,,,0,0,True
opt67b,8388608,1,1,1,posix,write,3.356,3.624,3.624,2.328,0.33,,,0,0,
opt67b,8388608,1,1,1,posix,read,3.219,3.234,3.234,2.427,0.403,,,0,0,True
opt67b,8388608,1,32,L,gds_reg,write,3.94,3.977,3.977,1.983,0.323,0.0086,,32,32,
opt67b,8388608,1,32,L,gds_reg,read,3.957,3.973,3.973,1.975,0.358,0.0088,,32,32,True
opt67b,8388608,1,32,L,gds_unreg,write,4.708,4.761,4.761,1.66,0.434,,,0,0,
opt67b,8388608,1,32,L,gds_unreg,read,4.69,4.707,4.707,1.666,0.458,,,0,0,True
opt67b,8388608,1,32,L,gds_staging,write,6.98,7.386,7.386,1.119,0.623,,,0,0,
opt67b,8388608,1,32,L,gds_staging,read,6.74,7.054,7.054,1.159,0.627,,,0,0,True
opt67b,8388608,1,32,L,posix,write,3.6,3.668,3.668,2.17,0.394,,,0,0,
opt67b,8388608,1,32,L,posix,read,3.52,3.55,3.55,2.219,0.456,,,0,0,True
opt67b,8388608,1,64,2L,gds_reg,write,4.888,5.055,5.055,1.598,0.394,0.0123,,64,64,
opt67b,8388608,1,64,2L,gds_reg,read,4.851,5.027,5.027,1.61,0.42,0.0115,,64,64,True
opt67b,8388608,1,64,2L,gds_unreg,write,6.469,6.481,6.481,1.208,0.543,,,0,0,
opt67b,8388608,1,64,2L,gds_unreg,read,6.438,6.45,6.45,1.214,0.563,,,0,0,True
opt67b,8388608,1,64,2L,gds_staging,write,7.589,8.932,8.932,1.029,0.622,,,0,0,
opt67b,8388608,1,64,2L,gds_staging,read,7.217,7.869,7.869,1.082,0.624,,,0,0,True
opt67b,8388608,1,64,2L,posix,write,4.446,4.55,4.55,1.757,0.519,,,0,0,
opt67b,8388608,1,64,2L,posix,read,4.455,4.533,4.533,1.754,0.576,,,0,0,True
opt67b,33554432,4,1,1,gds_reg,write,13.207,13.813,13.813,2.366,0.271,0.0119,,4,4,
opt67b,33554432,4,1,1,gds_reg,read,11.808,12.355,12.355,2.647,0.285,0.0179,,4,4,True
opt67b,33554432,4,1,1,gds_unreg,write,13.923,14.193,14.193,2.245,0.448,,,0,0,
opt67b,33554432,4,1,1,gds_unreg,read,9.779,10.064,10.064,3.195,0.618,,,0,0,True
opt67b,33554432,4,1,1,gds_staging,write,13.781,14.844,14.844,2.268,0.241,,,0,0,
opt67b,33554432,4,1,1,gds_staging,read,11.003,11.056,11.056,2.84,0.344,,,0,0,True
opt67b,33554432,4,1,1,posix,write,14.234,14.852,14.852,2.195,0.293,,,0,0,
opt67b,33554432,4,1,1,posix,read,12.515,12.529,12.529,2.497,0.388,,,0,0,True
opt67b,33554432,4,32,L,gds_reg,write,13.339,13.932,13.932,2.343,0.219,0.0108,,32,32,
opt67b,33554432,4,32,L,gds_reg,read,13.215,13.31,13.31,2.365,0.268,0.014,,32,32,True
opt67b,33554432,4,32,L,gds_unreg,write,13.575,13.793,13.793,2.302,0.291,,,0,0,
opt67b,33554432,4,32,L,gds_unreg,read,13.674,13.724,13.724,2.285,0.33,,,0,0,True
opt67b,33554432,4,32,L,gds_staging,write,17.087,17.198,17.198,1.829,0.424,,,0,0,
opt67b,33554432,4,32,L,gds_staging,read,17.098,17.197,17.197,1.828,0.451,,,0,0,True
opt67b,33554432,4,32,L,posix,write,14.566,14.93,14.93,2.145,0.304,,,0,0,
opt67b,33554432,4,32,L,posix,read,12.769,12.799,12.799,2.447,0.401,,,0,0,True
opt67b,33554432,4,64,2L,gds_reg,write,13.93,14.029,14.029,2.243,0.264,0.0146,,64,64,
opt67b,33554432,4,64,2L,gds_reg,read,13.843,13.925,13.925,2.258,0.306,0.0166,,64,64,True
opt67b,33554432,4,64,2L,gds_unreg,write,15.412,15.78,15.78,2.028,0.346,,,0,0,
opt67b,33554432,4,64,2L,gds_unreg,read,15.372,15.481,15.481,2.033,0.376,,,0,0,True
opt67b,33554432,4,64,2L,gds_staging,write,21.882,22.142,22.142,1.428,0.545,,,0,0,
opt67b,33554432,4,64,2L,gds_staging,read,21.928,22.193,22.193,1.425,0.563,,,0,0,True
opt67b,33554432,4,64,2L,posix,write,14.672,15.024,15.024,2.13,0.317,,,0,0,
opt67b,33554432,4,64,2L,posix,read,13.019,13.036,13.036,2.4,0.413,,,0,0,True
opt67b,134217728,16,1,1,gds_reg,write,54.115,55.783,55.783,2.31,0.194,0.0085,,4,4,
opt67b,134217728,16,1,1,gds_reg,read,45.977,46.644,46.644,2.719,0.25,0.019,,4,4,True
opt67b,134217728,16,1,1,gds_unreg,write,54.906,56.336,56.336,2.277,0.443,,,0,0,
opt67b,134217728,16,1,1,gds_unreg,read,37.653,37.689,37.689,3.32,0.618,,,0,0,True
opt67b,134217728,16,1,1,gds_staging,write,55.298,58.193,58.193,2.26,0.233,,,0,0,
opt67b,134217728,16,1,1,gds_staging,read,43.78,43.878,43.878,2.855,0.337,,,0,0,True
opt67b,134217728,16,1,1,posix,write,62.698,63.397,63.397,1.994,0.241,,,0,0,
opt67b,134217728,16,1,1,posix,read,50.746,51.85,51.85,2.463,0.349,,,0,0,True
opt67b,134217728,16,32,L,gds_reg,write,54.596,55.095,55.095,2.29,0.194,0.0209,,32,32,
opt67b,134217728,16,32,L,gds_reg,read,45.409,49.731,49.731,2.753,0.252,0.0408,,32,32,True
opt67b,134217728,16,32,L,gds_unreg,write,54.307,55.712,55.712,2.302,0.261,,,0,0,
opt67b,134217728,16,32,L,gds_unreg,read,53.472,57.898,57.898,2.338,0.303,,,0,0,True
opt67b,134217728,16,32,L,gds_staging,write,54.488,58.227,58.227,2.294,0.266,,,0,0,
opt67b,134217728,16,32,L,gds_staging,read,48.143,50.425,50.425,2.596,0.331,,,0,0,True
opt67b,134217728,16,32,L,posix,write,62.745,63.168,63.168,1.992,0.252,,,0,0,
opt67b,134217728,16,32,L,posix,read,50.533,51.044,51.044,2.474,0.347,,,0,0,True
opt67b,134217728,16,64,2L,gds_reg,write,54.34,60.015,60.015,2.3,0.195,0.0226,,64,64,
opt67b,134217728,16,64,2L,gds_reg,read,47.529,51.348,51.348,2.63,0.256,0.031,,64,64,True
opt67b,134217728,16,64,2L,gds_unreg,write,54.383,55.894,55.894,2.299,0.269,,,0,0,
opt67b,134217728,16,64,2L,gds_unreg,read,53.914,58.732,58.732,2.318,0.313,,,0,0,True
opt67b,134217728,16,64,2L,gds_staging,write,56.89,58.13,58.13,2.197,0.338,,,0,0,
opt67b,134217728,16,64,2L,gds_staging,read,56.673,61.739,61.739,2.206,0.375,,,0,0,True
opt67b,134217728,16,64,2L,posix,write,63.093,65.432,65.432,1.981,0.251,,,0,0,
opt67b,134217728,16,64,2L,posix,read,50.446,51.181,51.181,2.478,0.347,,,0,0,True
