Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,47903212,1,47903212.0,47903212.0,47903212,47903212,0.0,PushPop,:step:stream #5301 running=4
0.0,47822986,1,47822986.0,47822986.0,47822986,47822986,0.0,PushPop,:step:stream #5256 running=4
0.0,47707240,1,47707240.0,47707240.0,47707240,47707240,0.0,PushPop,:step:stream #5279 running=4
0.0,47467746,1,47467746.0,47467746.0,47467746,47467746,0.0,PushPop,:step:stream #5219 running=4
0.0,47347780,1,47347780.0,47347780.0,47347780,47347780,0.0,PushPop,:step:stream #5350 running=4
0.0,47326942,1,47326942.0,47326942.0,47326942,47326942,0.0,PushPop,:step:stream #52 running=2
0.0,47190897,1,47190897.0,47190897.0,47190897,47190897,0.0,PushPop,:step:stream #5220 running=4
0.0,47175141,1,47175141.0,47175141.0,47175141,47175141,0.0,PushPop,:step:stream #26 running=4
0.0,47065391,1,47065391.0,47065391.0,47065391,47065391,0.0,PushPop,:step:stream #5176 running=4
0.0,47049133,1,47049133.0,47049133.0,47049133,47049133,0.0,PushPop,:step:stream #50 running=2
0.0,46923164,1,46923164.0,46923164.0,46923164,46923164,0.0,PushPop,:step:stream #51 running=2
0.0,46888925,1,46888925.0,46888925.0,46888925,46888925,0.0,PushPop,:step:stream #5300 running=4
0.0,46845704,1,46845704.0,46845704.0,46845704,46845704,0.0,PushPop,:step:stream #5210 running=4
0.0,46701085,1,46701085.0,46701085.0,46701085,46701085,0.0,PushPop,:step:stream #5324 running=4
0.0,46698058,1,46698058.0,46698058.0,46698058,46698058,0.0,PushPop,:step:stream #15 running=4
0.0,46660714,1,46660714.0,46660714.0,46660714,46660714,0.0,PushPop,:step:stream #5381 running=3
0.0,46620740,1,46620740.0,46620740.0,46620740,46620740,0.0,PushPop,:step:stream #49 running=2
0.0,46511662,1,46511662.0,46511662.0,46511662,46511662,0.0,PushPop,:step:stream #5299 running=4
0.0,46463184,1,46463184.0,46463184.0,46463184,46463184,0.0,PushPop,:step:stream #36 running=4
0.0,46455710,1,46455710.0,46455710.0,46455710,46455710,0.0,PushPop,:step:stream #5382 running=3
0.0,46392238,1,46392238.0,46392238.0,46392238,46392238,0.0,PushPop,:step:stream #38 running=1
0.0,46123550,1,46123550.0,46123550.0,46123550,46123550,0.0,PushPop,:step:stream #5255 running=4
0.0,46091110,1,46091110.0,46091110.0,46091110,46091110,0.0,PushPop,:step:stream #16 running=4
0.0,46074351,1,46074351.0,46074351.0,46074351,46074351,0.0,PushPop,:step:stream #5166 running=4
0.0,45737180,1,45737180.0,45737180.0,45737180,45737180,0.0,PushPop,:step:stream #5244 running=4
0.0,45500954,1,45500954.0,45500954.0,45500954,45500954,0.0,PushPop,:step:stream #5278 running=4
0.0,45495899,1,45495899.0,45495899.0,45495899,45495899,0.0,PushPop,:step:stream #5371 running=4
0.0,45413760,1,45413760.0,45413760.0,45413760,45413760,0.0,PushPop,:step:stream #5162 running=4
0.0,45324901,1,45324901.0,45324901.0,45324901,45324901,0.0,PushPop,:step:stream #5323 running=4
0.0,45173521,1,45173521.0,45173521.0,45173521,45173521,0.0,PushPop,:step:stream #142 running=3
0.0,45026266,1,45026266.0,45026266.0,45026266,45026266,0.0,PushPop,:step:stream #141 running=3
0.0,44957272,1,44957272.0,44957272.0,44957272,44957272,0.0,PushPop,:step:stream #127 running=1
0.0,44802036,1,44802036.0,44802036.0,44802036,44802036,0.0,PushPop,:step:stream #143 running=3
0.0,44729276,1,44729276.0,44729276.0,44729276,44729276,0.0,PushPop,:step:stream #3310 running=2
0.0,44517274,1,44517274.0,44517274.0,44517274,44517274,0.0,PushPop,:step:stream #3308 running=2
0.0,44326440,1,44326440.0,44326440.0,44326440,44326440,0.0,PushPop,:step:stream #5312 running=4
0.0,44249434,1,44249434.0,44249434.0,44249434,44249434,0.0,PushPop,:step:stream #5349 running=4
0.0,44170173,1,44170173.0,44170173.0,44170173,44170173,0.0,PushPop,:step:stream #5383 running=3
0.0,44141000,1,44141000.0,44141000.0,44141000,44141000,0.0,PushPop,:step:stream #5239 running=4
0.0,44103233,1,44103233.0,44103233.0,44103233,44103233,0.0,PushPop,:step:stream #3309 running=2
0.0,44095363,1,44095363.0,44095363.0,44095363,44095363,0.0,PushPop,:step:stream #3307 running=2
0.0,43857225,1,43857225.0,43857225.0,43857225,43857225,0.0,PushPop,:step:stream #5199 running=4
0.0,43415117,1,43415117.0,43415117.0,43415117,43415117,0.0,PushPop,:step:stream #9 running=1
0.0,43384421,1,43384421.0,43384421.0,43384421,43384421,0.0,PushPop,:step:stream #5316 running=4
0.0,43349522,1,43349522.0,43349522.0,43349522,43349522,0.0,PushPop,:step:stream #5311 running=4
0.0,42797070,1,42797070.0,42797070.0,42797070,42797070,0.0,PushPop,:step:stream #5243 running=4
0.0,42761732,1,42761732.0,42761732.0,42761732,42761732,0.0,PushPop,:step:stream #25 running=4
0.0,42627430,1,42627430.0,42627430.0,42627430,42627430,0.0,PushPop,:step:stream #140 running=3
0.0,42518034,1,42518034.0,42518034.0,42518034,42518034,0.0,PushPop,:step:stream #5242 running=4
0.0,42507430,1,42507430.0,42507430.0,42507430,42507430,0.0,PushPop,:step:stream #117 running=1
0.0,42505057,1,42505057.0,42505057.0,42505057,42505057,0.0,PushPop,:step:stream #5270 running=4
0.0,42466076,1,42466076.0,42466076.0,42466076,42466076,0.0,PushPop,:step:stream #5289 running=4
0.0,42329016,1,42329016.0,42329016.0,42329016,42329016,0.0,PushPop,:step:stream #5308 running=4
0.0,42294254,1,42294254.0,42294254.0,42294254,42294254,0.0,PushPop,:step:stream #5304 running=4
0.0,42270261,1,42270261.0,42270261.0,42270261,42270261,0.0,PushPop,:step:stream #5160 running=4
0.0,41965810,1,41965810.0,41965810.0,41965810,41965810,0.0,PushPop,:step:stream #5380 running=3
0.0,41866865,1,41866865.0,41866865.0,41866865,41866865,0.0,PushPop,:step:stream #6 running=1
0.0,41748645,1,41748645.0,41748645.0,41748645,41748645,0.0,PushPop,:step:stream #5307 running=4
0.0,41558069,1,41558069.0,41558069.0,41558069,41558069,0.0,PushPop,:step:stream #5185 running=4
0.0,41264847,1,41264847.0,41264847.0,41264847,41264847,0.0,PushPop,:step:stream #5282 running=4
0.0,41100653,1,41100653.0,41100653.0,41100653,41100653,0.0,PushPop,:step:stream #5364 running=4
0.0,41046119,1,41046119.0,41046119.0,41046119,41046119,0.0,PushPop,:step:stream #5269 running=4
0.0,41025717,1,41025717.0,41025717.0,41025717,41025717,0.0,PushPop,:step:stream #5257 running=4
0.0,40703108,1,40703108.0,40703108.0,40703108,40703108,0.0,PushPop,:step:stream #5265 running=4
0.0,40655442,1,40655442.0,40655442.0,40655442,40655442,0.0,PushPop,:step:stream #29 running=4
0.0,40615015,1,40615015.0,40615015.0,40615015,40615015,0.0,PushPop,:step:stream #18 running=4
0.0,40569566,1,40569566.0,40569566.0,40569566,40569566,0.0,PushPop,:step:stream #4448 running=4
0.0,40520817,1,40520817.0,40520817.0,40520817,40520817,0.0,PushPop,:step:stream #5235 running=4
