runner,config,model,block,prefix,rep,arm,ttft_s,store_wall_s,n_io,path_ok
v2,expfs-posix,opt-2.7b,64,2032,0,A_warm,1.1543,0.301,31,True
v2,expfs-posix,opt-2.7b,64,2032,0,E_posix,0.5071,0,31,True
v2,expfs-posix,opt-2.7b,64,2032,1,A_warm,1.1599,0.297,31,True
v2,expfs-posix,opt-2.7b,64,2032,1,E_posix,0.5704,0,31,True
v2,expfs-posix,opt-2.7b,64,2032,2,A_warm,1.1599,0.29,31,True
v2,expfs-posix,opt-2.7b,64,2032,2,E_posix,0.8649,0,31,True
v2,expfs-posix,opt-2.7b,64,1024,-1,conc8_E,2.0053,2.7712,128,True
v2,expfs-cufile,opt-2.7b,256,1024,0,A_warm,0.3709,0.165,4,True
v2,expfs-cufile,opt-2.7b,256,1024,0,D_gds,0.1856,0,4,True
v2,expfs-cufile,opt-2.7b,256,1024,1,A_warm,0.3623,0.132,4,True
v2,expfs-cufile,opt-2.7b,256,1024,1,D_gds,0.1851,0,4,True
v2,expfs-cufile,opt-2.7b,256,1024,2,A_warm,0.366,0.136,4,True
v2,expfs-cufile,opt-2.7b,256,1024,2,D_gds,0.1686,0,4,True
v2,expfs-cufile,opt-2.7b,256,2032,0,A_warm,1.1662,0.233,7,True
v2,expfs-cufile,opt-2.7b,256,2032,0,D_gds,0.4669,0,7,True
v2,expfs-cufile,opt-2.7b,256,2032,1,A_warm,1.1665,0.234,7,True
v2,expfs-cufile,opt-2.7b,256,2032,1,D_gds,0.4847,0,7,True
v2,expfs-cufile,opt-2.7b,256,2032,2,A_warm,1.1675,0.243,7,True
v2,expfs-cufile,opt-2.7b,256,2032,2,D_gds,0.5679,0,7,True
v2,expfs-cufile,opt-2.7b,256,1024,-1,conc8_D,1.9113,2.7791,32,True
v2,expfs-posix,opt-2.7b,256,1024,0,A_warm,0.4794,0.425,4,True
v2,expfs-posix,opt-2.7b,256,1024,0,E_posix,0.2036,0,4,True
v2,expfs-posix,opt-2.7b,256,1024,1,A_warm,0.4247,0.219,4,True
v2,expfs-posix,opt-2.7b,256,1024,1,E_posix,0.2074,0,4,True
v2,expfs-posix,opt-2.7b,256,1024,2,A_warm,0.3906,0.187,4,True
v2,expfs-posix,opt-2.7b,256,1024,2,E_posix,0.3251,0,4,True
v2,expfs-posix,opt-2.7b,256,2032,0,A_warm,1.1967,0.289,7,True
v2,expfs-posix,opt-2.7b,256,2032,0,E_posix,0.5899,0,7,True
v2,expfs-posix,opt-2.7b,256,2032,1,A_warm,1.198,0.301,7,True
v2,expfs-posix,opt-2.7b,256,2032,1,E_posix,0.5899,0,7,True
v2,expfs-posix,opt-2.7b,256,2032,2,A_warm,1.1988,0.297,7,True
v2,expfs-posix,opt-2.7b,256,2032,2,E_posix,0.8538,0,7,True
v2,expfs-posix,opt-2.7b,256,1024,-1,conc8_E,3.5551,2.781,32,True
v1,expfs-cufile,opt-2.7b,64,2032,0,A_warm,1.2026,0.284,31,True
v1,expfs-cufile,opt-2.7b,64,2032,0,D_gds,0.296,0,31,True
v1,expfs-cufile,opt-2.7b,64,2032,1,A_warm,1.1508,0.264,31,True
v1,expfs-cufile,opt-2.7b,64,2032,1,D_gds,0.576,0,31,True
v1,expfs-cufile,opt-2.7b,64,2032,2,A_warm,1.1496,0.27,31,True
v1,expfs-cufile,opt-2.7b,64,2032,2,D_gds,0.4354,0,31,True
v1,expfs-cufile,opt-2.7b,64,2032,3,A_warm,1.1479,0.26,31,True
v1,expfs-cufile,opt-2.7b,64,2032,3,D_gds,1.9405,0,31,True
v1,expfs-cufile,opt-2.7b,64,1024,-1,conc8_D,2.7981,2.7716,128,True
v1,expfs-posix,opt-2.7b,64,2032,0,A_warm,1.5287,0.616,31,True
v1,expfs-posix,opt-2.7b,64,2032,0,E_posix,0.4101,0,31,True
v1,expfs-posix,opt-2.7b,64,2032,1,A_warm,1.1605,0.271,31,True
v1,expfs-posix,opt-2.7b,64,2032,1,E_posix,0.451,0,31,True
v1,expfs-posix,opt-2.7b,64,2032,2,A_warm,1.1603,0.267,31,True
v1,expfs-posix,opt-2.7b,64,2032,2,E_posix,0.4102,0,31,True
v1,expfs-posix,opt-2.7b,64,2032,3,A_warm,1.1589,0.264,31,True
v1,expfs-posix,opt-2.7b,64,2032,3,E_posix,0.7188,0,31,True
v1,expfs-posix,opt-2.7b,64,1024,-1,conc8_E,1.534,2.7654,128,True
v1,expfs-cufile,opt-2.7b,256,2032,0,A_warm,1.2142,0.265,7,True
v1,expfs-cufile,opt-2.7b,256,2032,0,D_gds,0.4493,0,7,True
v1,expfs-cufile,opt-2.7b,256,2032,1,A_warm,1.1522,0.247,7,True
v1,expfs-cufile,opt-2.7b,256,2032,1,D_gds,0.4861,0,7,True
